sat_id,x,y,z,Vx,Vy,Vz
241,99.93216598682795,99.93423818726683,99.96994419938909,99.41069740866187,98.44627944144906,98.096482071265
242,99.88033402441862,99.94105417071171,99.84954761523441,99.95680596096234,99.94892989528732,99.963165201049
243,99.97542800663314,99.98244438952428,99.97902252669085,99.98459252528733,99.99149836923439,99.98870827746624
244,97.33773417308709,96.22274831512425,96.05198241056733,96.48144922475872,97.21374852009616,97.37460960842428
245,99.863434091217,99.95680927334604,99.85686036778907,99.95113612966077,99.93193825851554,99.85038221088783
246,99.92868217681571,99.82136829389174,99.87918874555292,99.90875946688702,99.961748312511,99.91394874693819
247,99.94664598486952,99.95762694485627,98.84039240527316,99.95927620573981,99.97033850791863,99.94408829628544
248,99.76256481131095,99.760381375536,94.81319037884617,99.58203545383061,99.64715288964989,94.97373292674769
249,87.00747165462994,82.85958707146854,87.28179047788245,84.74128255800916,85.91500663423439,85.29784559231108
250,99.99084633854442,99.98159969451133,99.98993754660573,99.9912659329936,99.96309329159449,99.98996260825363
251,99.96205164031764,99.95799072122932,99.94043606502073,99.7727987320593,99.95156958004543,99.92203873468283
252,84.14993420417267,91.18644607112068,91.37840443266813,79.23509286602417,81.08334533080512,86.89223836510239
253,89.54139077151721,88.03689876151132,90.85173420000602,88.50502028751953,87.86001185528127,85.9690899648616
254,99.8539578618981,99.72892257833466,99.74200003767028,99.62722717211683,99.37858628232703,99.3662514585986
255,99.53382331971042,99.22485698423634,99.05508968663061,94.68504319043979,93.80101876838587,94.47086341232252
256,99.96420234224887,99.94065919223428,99.94786307156247,99.95723247361198,99.9491426692428,99.96741785081657
257,99.84549734729129,99.8764358176661,99.85588803599512,99.72524068474497,99.89133562695312,99.82491411586243
258,99.67191450666067,98.55631530062416,99.65535161063971,98.80883100008246,98.83480066176246,97.65135645980256
259,99.22289378776102,98.94384004785735,98.62268703921612,98.68863007987773,98.19019088657689,97.29517666496193
260,94.29360674266279,97.26921458991178,96.24650685355026,84.18726264202185,89.13750708833929,87.9485087588157
261,99.94086294471197,99.9482962075876,99.93784279090558,99.92988630203425,99.9479501555964,99.94917574378675
262,99.68169708833334,99.57111019595779,98.83173954831376,97.74683600246661,99.14637559314608,99.18245651061464
263,99.99026769557295,99.98525615497192,99.79986823208587,99.99400936174335,99.98057356409554,99.99199208702497
264,98.55936688038189,99.40689390796393,99.7689366051582,98.09271371915426,95.3626249906871,94.19662353420502
265,99.6809702949274,99.69690680221252,99.8562606417541,99.32559211504707,99.36219487167436,99.17566193845254
266,99.86585183750844,99.61823043460127,99.8090619191212,99.76476660529913,99.92083145360269,99.9332132191602
267,99.89270582592363,99.87846272314735,99.81189907826696,99.71083473668358,99.6565924364542,98.44220987511174
268,99.37955872305386,98.98739760070409,99.48768067487893,97.40738598834108,92.44557742072476,96.43716873720535
269,99.97412127153838,99.93050024907781,99.85384725849829,99.97087064993498,99.94282313598993,99.80642682712102
270,99.49513608526568,99.40971415705894,99.51429124916774,98.4827137357123,99.17842064782583,99.29528089885488
271,97.34553583417028,97.49641201470803,98.19257301070402,89.87223244985135,89.22907415536928,92.54084881630588
272,99.72074625519338,99.53759512467177,99.75479764360436,99.57238134843922,99.79022943579218,99.66557452743055
273,98.51280989316929,99.01450122536683,99.15658389609871,94.25410414159357,90.94411929326517,92.22316867552027
274,99.94474484762556,99.95271684211303,99.91328608691896,99.81691890504383,99.95712965667481,99.88616288411222
275,98.71627160713791,99.42109991121936,98.80349567116247,99.17471296791031,98.90878781983047,98.93373128204381
276,99.98772738270726,99.99128015828165,99.91944224779218,99.98147695331657,99.97637973338664,99.99163878637093
277,98.24558789916725,91.500238953214,94.37954705317267,96.56989512785681,92.91083088369268,95.48653082479342
278,99.9576606925976,99.94197368583245,99.95207457239721,99.93679803987686,99.94830815320456,99.92897000837684
279,99.99050578584122,99.94950243799376,99.94118959338347,99.98155176254897,99.99156125794907,99.98649793079507
280,99.80205754336208,99.18475214791442,99.53584514691993,99.76012727283532,99.64572826041346,99.13199332370795
281,99.96115259576324,99.87321288401576,99.79792429071559,99.90982524843191,99.90511545055995,99.8908073922369
282,99.88660595308389,99.89885773110242,99.95355644754297,99.95736746268598,99.96849202834085,99.94585401300637
283,99.99031617693336,99.99047524559727,99.98730249570322,99.9856970365696,99.96424298589577,99.9924018294405
284,99.956115070916,99.93175931252497,99.7491438737227,99.9882574208757,99.99070210370233,99.94787805640338
285,99.98486533276831,99.9918126244018,99.97949445175792,99.96561880293794,99.97187493955018,99.92803429627766
286,99.99107177919527,99.98924420382382,99.99291765454615,99.99175460255826,99.99031988978365,99.98913506871612
287,99.94859095205173,99.82686919542945,99.90426549199127,99.57364472355975,99.67555017088188,99.51108711550147
288,99.96669248242279,99.9629259347075,99.96521174953098,99.93545584218035,99.89320485560698,99.81355072450157
289,98.18003854080331,98.37910126464519,98.3015928493074,98.27382647204081,98.064525050955055,97.12263487114777
